column,dtype,non_null_count,missing_count,missing_pct,unique_values,mean,std,min,q1,median,q3,max,top_values
Age,int64,583,0,0.0,72,44.7461,16.1898,4.0,33.0,45.0,58.0,90.0,
Gender,str,583,0,0.0,2,,,,,,,,Male: 441; Female: 142
TB,float64,583,0,0.0,113,3.2988,6.2095,0.4,0.8,1.0,2.6,75.0,
DB,float64,583,0,0.0,80,1.4861,2.8085,0.1,0.2,0.3,1.3,19.7,
Alkphos,int64,583,0,0.0,263,290.5763,242.938,63.0,175.5,208.0,298.0,2110.0,
Sgpt,int64,583,0,0.0,152,80.7136,182.6204,10.0,23.0,35.0,60.5,2000.0,
Sgot,int64,583,0,0.0,177,109.9108,288.9185,10.0,25.0,42.0,87.0,4929.0,
TP,float64,583,0,0.0,58,6.4832,1.0855,2.7,5.8,6.6,7.2,9.6,
ALB,float64,583,0,0.0,40,3.1419,0.7955,0.9,2.6,3.1,3.8,5.5,
A/G Ratio,float64,583,0,0.0,69,0.9469,0.3185,0.3,0.7,0.93,1.1,2.8,
Selector,str,583,0,0.0,2,,,,,,,,Liver Disease: 416; No Liver Disease: 167
