experiment,model,split,n_samples,accuracy,precision,recall,f1,roc_auc,recall_ci_lower,recall_ci_upper
exp1,LogisticRegression,full,117,0.6752,0.9592,0.5663,0.7121,0.7835,,
exp1,LogisticRegression,male,89,0.7079,0.9535,0.6308,0.7593,0.8288,,
exp1,LogisticRegression,female,28,0.5714,1.0,0.3333,0.5,0.6167,0.1176,0.5716
exp1,RandomForest,full,117,0.7179,0.7604,0.8795,0.8156,0.7849,,
exp1,RandomForest,male,89,0.7753,0.7848,0.9538,0.8611,0.8112,,
exp1,RandomForest,female,28,0.5357,0.6471,0.6111,0.6286,0.7,0.4373,0.8824
exp1,XGBoost,full,117,0.735,0.8023,0.8313,0.8166,0.786,,
exp1,XGBoost,male,89,0.7528,0.8116,0.8615,0.8358,0.7872,,
exp1,XGBoost,female,28,0.6786,0.7647,0.7222,0.7429,0.7389,0.5,0.9333
exp2,LogisticRegression,full,117,0.6752,0.9592,0.5663,0.7121,0.7838,,
exp2,LogisticRegression,male,89,0.7079,0.9535,0.6308,0.7593,0.8288,,
exp2,LogisticRegression,female,28,0.5714,1.0,0.3333,0.5,0.6167,0.1175,0.5714
exp2,RandomForest,full,117,0.7179,0.7604,0.8795,0.8156,0.7826,,
exp2,RandomForest,male,89,0.7753,0.7848,0.9538,0.8611,0.8119,,
exp2,RandomForest,female,28,0.5357,0.6471,0.6111,0.6286,0.6417,0.3571,0.8421
exp2,XGBoost,full,117,0.7692,0.8256,0.8554,0.8402,0.7782,,
exp2,XGBoost,male,89,0.7978,0.831,0.9077,0.8676,0.7705,,
exp2,XGBoost,female,28,0.6786,0.8,0.6667,0.7273,0.7278,0.4444,0.8889
exp3_male,LogisticRegression,male,89,0.7079,0.9333,0.6462,0.7636,0.8179,,
exp3_male,RandomForest,male,89,0.7753,0.7848,0.9538,0.8611,0.7917,,
exp3_male,XGBoost,male,89,0.7303,0.7662,0.9077,0.831,0.7981,,
exp3_female,LogisticRegression,female,28,0.5,0.8333,0.2778,0.4167,0.5611,0.0768,0.5
exp3_female,RandomForest,female,28,0.75,0.7619,0.8889,0.8205,0.7556,0.8235,1.0
exp3_female,XGBoost,female,28,0.6786,0.7368,0.7778,0.7568,0.7778,0.5714,0.9444
