experiment,model,split,n_samples,n_positive,n_negative,tn,fp,fn,tp,fpr,fnr
exp1,LogisticRegression,full,117,83,34,32,2,36,47,0.0588,0.4337
exp1,LogisticRegression,male,89,65,24,22,2,24,41,0.0833,0.3692
exp1,LogisticRegression,female,28,18,10,10,0,12,6,0.0,0.6667
exp2,LogisticRegression,full,117,83,34,32,2,36,47,0.0588,0.4337
exp2,LogisticRegression,male,89,65,24,22,2,24,41,0.0833,0.3692
exp2,LogisticRegression,female,28,18,10,10,0,12,6,0.0,0.6667
exp3_male,LogisticRegression,male,89,65,24,21,3,23,42,0.125,0.3538
exp3_female,LogisticRegression,female,28,18,10,9,1,13,5,0.1,0.7222
exp1,RandomForest,full,117,83,34,11,23,10,73,0.6765,0.1205
exp1,RandomForest,male,89,65,24,7,17,3,62,0.7083,0.0462
exp1,RandomForest,female,28,18,10,4,6,7,11,0.6,0.3889
exp2,RandomForest,full,117,83,34,11,23,10,73,0.6765,0.1205
exp2,RandomForest,male,89,65,24,7,17,3,62,0.7083,0.0462
exp2,RandomForest,female,28,18,10,4,6,7,11,0.6,0.3889
exp3_male,RandomForest,male,89,65,24,7,17,3,62,0.7083,0.0462
exp3_female,RandomForest,female,28,18,10,5,5,2,16,0.5,0.1111
exp1,XGBoost,full,117,83,34,17,17,14,69,0.5,0.1687
exp1,XGBoost,male,89,65,24,11,13,9,56,0.5417,0.1385
exp1,XGBoost,female,28,18,10,6,4,5,13,0.4,0.2778
exp2,XGBoost,full,117,83,34,19,15,12,71,0.4412,0.1446
exp2,XGBoost,male,89,65,24,12,12,6,59,0.5,0.0923
exp2,XGBoost,female,28,18,10,7,3,6,12,0.3,0.3333
exp3_male,XGBoost,male,89,65,24,6,18,6,59,0.75,0.0923
exp3_female,XGBoost,female,28,18,10,5,5,4,14,0.5,0.2222
